task_id,priority,description,dependencies,current_status,implementation_evidence,ui_evidence,test_evidence,deployment_evidence,hardware_validation_requirement,external_blocker,next_action
RC-01,P0,Preserve the 0.3.11 Beta 1 release-candidate storage behavior,,VERIFIED,SOFTWARE VERIFIED — CI run `32718177066` passed all six jobs at immutable commit `66246ac274479724cebc61297b595935fbc1e012`; storage run `32718177058` passed all four applicable isolated jobs. The exact release artifact is installed and ready on the beta bench with honest empty managed-storage state and the four Cisco SSDs unchanged,,SOFTWARE VERIFIED — CI run `32718177066` passed all six jobs at immutable commit `66246ac274479724cebc61297b595935fbc1e012`; storage run `32718177058` passed all four applicable isolated jobs. The exact release artifact is installed and ready on the beta bench with honest empty managed-storage state and the four Cisco SSDs unchanged,SOFTWARE VERIFIED — CI run `32718177066` passed all six jobs at immutable commit `66246ac274479724cebc61297b595935fbc1e012`; storage run `32718177058` passed all four applicable isolated jobs. The exact release artifact is installed and ready on the beta bench with honest empty managed-storage state and the four Cisco SSDs unchanged,None identified,,None; preserve with regression coverage
RC-02,P0,Maintain two-pass release validation,,VERIFIED,"SOFTWARE VERIFIED — both clean attempts of run `32691347484` passed 539 backend, 162 frontend, 4 accessibility, 26 Chromium E2E, 74 bootstrap and 19 release tests plus Ruff, telemetry soak, live Linux collectors, wheel/bundle/systemd, installed recovery and live MinIO",,"SOFTWARE VERIFIED — both clean attempts of run `32691347484` passed 539 backend, 162 frontend, 4 accessibility, 26 Chromium E2E, 74 bootstrap and 19 release tests plus Ruff, telemetry soak, live Linux collectors, wheel/bundle/systemd, installed recovery and live MinIO",,None identified,,None; preserve with regression coverage
RC-03,P0,Keep physical certification separate,,VERIFIED,"VERIFIED — roadmap, validation and live-beta evidence continue to distinguish software, isolated and physical states; no Cisco SSD or matching physical controller/shelf is claimed as tested",,"VERIFIED — roadmap, validation and live-beta evidence continue to distinguish software, isolated and physical states; no Cisco SSD or matching physical controller/shelf is claimed as tested","VERIFIED — roadmap, validation and live-beta evidence continue to distinguish software, isolated and physical states; no Cisco SSD or matching physical controller/shelf is claimed as tested",Matching physical provider/hardware execution,,None; preserve with regression coverage
RC-04,P0,Preserve bounded external blockers,,VERIFIED,"VERIFIED — the managed scan retains its exact bounded environment error and physical provider work remains HW-16 without blocking software, CI, deployment or roadmap progress",,,,Matching physical provider/hardware execution,,None; preserve with regression coverage
RC-05,P0,Keep expensive release workflows deliberate and actionable,,VERIFIED,SOFTWARE VERIFIED — actionlint; prior failure reconciled to passing successor,,,,None identified,,None; preserve with regression coverage
WEB-01,P1,Inventory the current www server and site,,NOT STARTED,,,,,None identified,,"Implement and prove: Record hosting stack, DNS/TLS, services, source, database, assets, content, redirects, analytics, integrations, backups, permissions, secrets locations, and rollback constraints without changing production."
WEB-02,P1,Create a recoverable current-site archive,WEB-01,NOT STARTED,,,,,None identified,,"Implement and prove: Produce timestamped source/content/database/configuration backups, checksums, restore instructions, and a tested staging restore before replacement. Do not call an untested archive recoverable."
WEB-03,P2,Establish the Hoardarr visual system,,NOT STARTED,,,,,None identified,,"Implement and prove: Inventory the approved new logos, colors, typography, iconography, light/dark behavior, responsive rules, and accessible contrast. Preserve recognizable Hoardarr/ARR character without copying another community's distinctive assets."
WEB-04,P1,Select and document the website architecture,WEB-01,NOT STARTED,,,,,None identified,,"Implement and prove: Choose the simplest maintainable platform for public pages, ingestion/API, accounts, forum, uploads, moderation, search, analytics, and deployment; define service/data boundaries and direct-to-latest upgrade behavior."
WEB-05,P2,Build the modern public site,WEB-03;WEB-04,NOT STARTED,,,,,None identified,,"Implement and prove: Implement responsive home, product, download/docs, hardware statistics, build showcase, community, privacy, security, and status experiences using real data only."
